Exhibition Title,Start Date,Start Year,End Date,Street Address
Poems & Pictures: A Renaissance in the Art of the Book (1946-1981),07-07-2010,2010,09-11-2010,"28 W 27th St, New York, NY 10001"
Star Black: The Collaged Accordion,01-21-2010,2010,04-03-2010,"28 W 27th St, New York, NY 10001"
"2011 Van Lier/Stein Family Scholars: Katie Baldwin, Kimberly McClure, Sarah McDermott, Benjamin Reyaert",09-21-2011,2011,12-03-2011,"28 W 27th St, New York, NY 10001"
Barbara Page: Book Marks,04-15-2011,2011,06-25-2011,"28 W 27th St, New York, NY 10001"
Emily Martin: Theme and Variation,09-21-2011,2011,12-03-2011,"28 W 27th St, New York, NY 10001"
Guy Laramée: The Great Wall,01-19-2011,2011,04-02-2011,"28 W 27th St, New York, NY 10001"
Mara Adamitz Scrupe: I Own This Land,01-19-2011,2011,04-02-2011,"28 W 27th St, New York, NY 10001"
"Multiple, Limited, Unique: Selections from the Permanent Collection of the Center for Book Arts",07-06-2011,2011,09-10-2011,"28 W 27th St, New York, NY 10001"
"Peace, Love and Rockets",09-21-2011,2011,12-03-2011,"28 W 27th St, New York, NY 10001"
Su Blackwell: 2011 Bishop Faculty Fellow,09-21-2011,2011,12-03-2011,"28 W 27th St, New York, NY 10001"
The (Un)framed Photograph 2011 Artist Members Annual Exhibition,07-06-2011,2011,09-10-2011,"28 W 27th St, New York, NY 10001"
With Food in Mind,04-15-2011,2011,06-25-2011,"28 W 27th St, New York, NY 10001"
Workspace Artists-in-Residence 2010,04-15-2011,2011,06-25-2011,"28 W 27th St, New York, NY 10001"
2011 Workspace Artists in Residence,04-18-2012,2012,06-30-2012,"28 W 27th St, New York, NY 10001"
2012 Van Lier Scholars for Advanced Study in Book Arts,10-03-2012,2012,12-15-2012,"28 W 27th St, New York, NY 10001"
Anne Gilman: The Jolly Balance,04-18-2012,2012,06-30-2012,"28 W 27th St, New York, NY 10001"
Book as Witness: The Artist's Response,07-11-2012,2012,09-22-2012,"28 W 27th St, New York, NY 10001"
Canceled: Alternative Manifestations and Productive Failures,04-18-2012,2012,06-30-2012,"28 W 27th St, New York, NY 10001"
Ethan Shoshan: Strange Birds,01-18-2012,2012,03-31-2012,"28 W 27th St, New York, NY 10001"
Fine & Dirty: Contemporary Letterpress Art,01-18-2012,2012,03-31-2012,"28 W 27th St, New York, NY 10001"
Kitty Maryatt: Interrogating Book Structure,10-03-2012,2012,12-15-2012,"28 W 27th St, New York, NY 10001"
Kumi Korf: Red Paper From Tosa,10-03-2012,2012,12-15-2012,"28 W 27th St, New York, NY 10001"
Patricia Sarrafian Ward: Re/Vision,01-18-2012,2012,03-31-2012,"28 W 27th St, New York, NY 10001"
Required Reading: Printed Material as Agent of Intervention,10-03-2012,2012,12-15-2012,"28 W 27th St, New York, NY 10001"
